# Wind Data Export
# Region: North Carolina
# Date: 2024-01-07 to 2024-01-09
# Resolution: 0.25 degrees
# Bounds: (33.8, -84.3) to (36.6, -75.4)
# Valid Points: 444/444
# Units: mph
# Source: demo_data
#
latitude,longitude,peak_wind_speed,avg_wind_speed,peak_gust,peak_direction,observation_count
33.8,-84.3,12.1,8.9,17.7,81.0,72
33.8,-84.05,14.6,10.8,26.4,81.0,72
33.8,-83.8,17.9,13.2,32.4,81.0,72
33.8,-83.55,19.9,14.7,36.1,81.0,72
33.8,-83.3,20.9,15.4,37.7,81.0,72
33.8,-83.05,21.7,16.0,39.3,81.0,72
33.8,-82.8,22.0,16.2,39.9,81.0,72
33.8,-82.55,21.0,15.5,38.0,81.0,72
33.8,-82.3,20.5,15.1,37.1,82.0,72
33.8,-82.05,22.7,16.7,41.1,82.0,72
33.8,-81.8,26.1,19.2,47.2,83.0,72
33.8,-81.55,27.0,19.9,48.8,84.0,72
33.8,-81.3,25.5,18.8,46.2,90.0,72
33.8,-81.05,24.9,18.3,45.0,226.0,72
33.8,-80.8,25.6,18.8,46.3,253.0,72
33.8,-80.55,26.7,19.7,48.4,256.0,72
33.8,-80.3,27.7,20.4,50.1,257.0,72
33.8,-80.05,29.6,21.8,53.5,258.0,72
33.8,-79.8,31.5,23.2,57.0,258.0,72
33.8,-79.55,30.8,22.7,55.8,259.0,72
33.8,-79.3,27.6,20.4,50.0,259.0,72
33.8,-79.05,25.3,18.7,45.8,259.0,72
33.8,-78.8,25.5,18.8,46.2,259.0,72
33.8,-78.55,26.0,19.1,47.0,259.0,72
33.8,-78.3,24.6,18.1,44.5,259.0,72
33.8,-78.05,22.2,16.4,32.5,259.0,72
33.8,-77.8,20.3,15.0,29.7,259.0,72
33.8,-77.55,18.3,13.5,26.8,259.0,72
33.8,-77.3,15.8,11.7,23.2,259.0,72
33.8,-77.05,14.6,10.8,21.4,259.0,72
33.8,-76.8,16.2,11.9,23.7,259.0,72
33.8,-76.55,18.4,13.5,26.9,259.0,72
33.8,-76.3,19.0,14.0,27.7,259.0,72
33.8,-76.05,18.1,13.4,28.7,206.0,72
33.8,-75.8,17.9,13.2,28.4,206.0,72
33.8,-75.55,18.7,13.8,29.7,206.0,72
33.8,-75.3,19.5,14.4,30.9,206.0,72
34.05,-84.3,14.0,10.3,20.4,76.0,72
34.05,-84.05,17.1,12.6,31.0,76.0,72
34.05,-83.8,19.0,14.0,34.4,75.0,72
34.05,-83.55,19.7,14.5,35.6,75.0,72
34.05,-83.3,20.4,15.0,36.9,74.0,72
34.05,-83.05,20.6,15.2,37.3,74.0,72
34.05,-82.8,19.8,14.6,35.8,73.0,72
34.05,-82.55,19.4,14.3,35.2,71.0,72
34.05,-82.3,21.7,16.0,39.2,70.0,72
34.05,-82.05,24.9,18.3,45.0,67.0,72
34.05,-81.8,25.7,19.0,46.5,63.0,72
34.05,-81.55,24.3,17.9,43.9,54.0,72
34.05,-81.3,24.1,17.7,43.5,32.0,72
34.05,-81.05,26.1,19.2,47.2,336.0,72
34.05,-80.8,27.9,20.6,50.5,295.0,72
34.05,-80.55,29.1,21.4,52.6,281.0,72
34.05,-80.3,31.0,22.8,56.0,275.0,72
34.05,-80.05,32.8,24.2,59.4,271.0,72
34.05,-79.8,31.9,23.5,57.8,269.0,72
34.05,-79.55,28.6,21.1,51.7,268.0,72
34.05,-79.3,26.3,19.4,47.5,267.0,72
34.05,-79.05,26.6,19.6,48.1,266.0,72
34.05,-78.8,27.1,20.0,49.0,265.0,72
34.05,-78.55,25.6,18.8,46.2,265.0,72
34.05,-78.3,23.1,17.0,41.7,264.0,72
34.05,-78.05,21.0,15.5,30.8,264.0,72
34.05,-77.8,19.1,14.1,27.9,264.0,72
34.05,-77.55,16.7,12.3,24.5,263.0,72
34.05,-77.3,15.4,11.4,22.6,263.0,72
34.05,-77.05,16.3,12.0,23.9,263.0,72
34.05,-76.8,18.5,13.6,27.0,263.0,72
34.05,-76.55,19.0,14.0,27.8,263.0,72
34.05,-76.3,18.1,13.4,26.5,262.0,72
34.05,-76.05,17.8,13.2,28.3,206.0,72
34.05,-75.8,18.7,13.8,29.7,206.0,72
34.05,-75.55,19.5,14.4,30.9,206.0,72
34.05,-75.3,19.8,14.6,31.4,206.0,72
34.3,-84.3,16.2,12.0,23.8,72.0,72
34.3,-84.05,17.9,13.2,32.4,71.0,72
34.3,-83.8,18.4,13.6,33.4,70.0,72
34.3,-83.55,19.0,14.0,34.3,69.0,72
34.3,-83.3,19.2,14.1,34.7,68.0,72
34.3,-83.05,18.5,13.6,33.4,66.0,72
34.3,-82.8,18.3,13.5,33.1,65.0,72
34.3,-82.55,20.5,15.1,37.1,62.0,72
34.3,-82.3,23.6,17.4,42.6,59.0,72
34.3,-82.05,24.3,17.9,44.0,54.0,72
34.3,-81.8,22.9,16.9,41.5,46.0,72
34.3,-81.55,22.9,16.9,41.4,34.0,72
34.3,-81.3,25.3,18.7,45.8,13.0,72
34.3,-81.05,28.0,20.7,50.7,343.0,72
34.3,-80.8,29.8,21.9,53.9,317.0,72
34.3,-80.55,31.8,23.5,57.6,300.0,72
34.3,-80.3,33.6,24.8,60.9,290.0,72
34.3,-80.05,32.7,24.1,59.1,284.0,72
34.3,-79.8,29.2,21.6,52.9,280.0,72
34.3,-79.55,27.0,19.9,48.8,277.0,72
34.3,-79.3,27.4,20.2,49.6,274.0,72
34.3,-79.05,28.0,20.6,50.6,273.0,72
34.3,-78.8,26.4,19.4,47.7,271.0,72
34.3,-78.55,23.7,17.5,42.9,270.0,72
34.3,-78.3,21.6,15.9,39.1,269.0,72
34.3,-78.05,19.7,14.6,28.9,269.0,72
34.3,-77.8,17.6,12.9,25.7,268.0,72
34.3,-77.55,16.4,12.1,24.1,267.0,72
34.3,-77.3,17.2,12.7,25.2,267.0,72
34.3,-77.05,18.6,13.7,27.2,266.0,72
34.3,-76.8,19.0,14.0,27.8,266.0,72
34.3,-76.55,18.1,13.3,26.5,266.0,72
34.3,-76.3,17.9,13.2,26.1,265.0,72
34.3,-76.05,18.7,13.8,29.7,206.0,72
34.3,-75.8,19.5,14.4,30.9,206.0,72
34.3,-75.55,19.7,14.6,31.3,206.0,72
34.3,-75.3,20.2,14.9,32.0,206.0,72
34.55,-84.3,16.7,12.3,24.5,67.0,72
34.55,-84.05,17.1,12.6,25.0,66.0,72
34.55,-83.8,17.5,12.9,31.7,65.0,72
34.55,-83.55,17.7,13.1,32.1,64.0,72
34.55,-83.3,17.2,12.7,31.1,62.0,72
34.55,-83.05,17.2,12.7,31.1,60.0,72
34.55,-82.8,19.3,14.3,35.0,57.0,72
34.55,-82.55,22.2,16.4,40.2,54.0,72
34.55,-82.3,22.9,16.9,41.4,49.0,72
34.55,-82.05,21.6,15.9,39.1,43.0,72
34.55,-81.8,21.7,16.0,39.3,34.0,72
34.55,-81.55,24.4,18.0,44.1,22.0,72
34.55,-81.3,27.4,20.2,49.6,5.0,72
34.55,-81.05,29.6,21.8,53.5,346.0,72
34.55,-80.8,31.9,23.5,57.7,327.0,72
34.55,-80.55,33.8,24.9,61.1,312.0,72
34.55,-80.3,32.9,24.2,59.4,302.0,72
34.55,-80.05,29.5,21.8,53.4,294.0,72
34.55,-79.8,27.4,20.2,49.5,289.0,72
34.55,-79.55,28.0,20.6,50.6,285.0,72
34.55,-79.3,28.6,21.1,51.7,282.0,72
34.55,-79.05,26.9,19.8,48.7,279.0,72
34.55,-78.8,24.1,17.8,43.7,277.0,72
34.55,-78.55,22.0,16.3,39.9,276.0,72
34.55,-78.3,20.3,15.0,36.7,274.0,72
34.55,-78.05,18.3,13.5,26.8,273.0,72
34.55,-77.8,17.4,12.8,25.4,272.0,72
34.55,-77.55,18.3,13.5,26.8,271.0,72
34.55,-77.3,19.4,14.3,28.3,271.0,72
34.55,-77.05,19.0,14.0,27.8,270.0,72
34.55,-76.8,18.0,13.3,26.4,269.0,72
34.55,-76.55,17.8,13.1,26.0,269.0,72
34.55,-76.3,18.7,13.8,27.4,268.0,72
34.55,-76.05,19.5,14.4,30.9,206.0,72
34.55,-75.8,19.6,14.5,31.2,206.0,72
34.55,-75.55,19.9,14.7,31.6,206.0,72
34.55,-75.3,20.0,14.8,31.8,206.0,72
34.8,-84.3,15.7,11.6,23.0,63.0,72
34.8,-84.05,16.0,11.8,23.4,62.0,72
34.8,-83.8,16.3,12.0,29.4,60.0,72
34.8,-83.55,15.9,11.7,28.7,58.0,72
34.8,-83.3,16.0,11.8,29.0,56.0,72
34.8,-83.05,18.2,13.4,32.9,54.0,72
34.8,-82.8,20.9,15.4,37.8,50.0,72
34.8,-82.55,21.5,15.8,38.8,46.0,72
34.8,-82.3,20.3,15.0,36.8,41.0,72
34.8,-82.05,20.6,15.2,37.3,34.0,72
34.8,-81.8,23.4,17.3,42.3,26.0,72
34.8,-81.55,26.5,19.6,48.0,15.0,72
34.8,-81.3,28.9,21.3,52.2,1.0,72
34.8,-81.05,31.2,23.0,56.5,347.0,72
34.8,-80.8,33.2,24.5,60.0,332.0,72
34.8,-80.55,32.4,23.9,58.7,320.0,72
34.8,-80.3,29.3,21.6,53.0,310.0,72
34.8,-80.05,27.4,20.2,49.6,302.0,72
34.8,-79.8,28.2,20.8,51.0,296.0,72
34.8,-79.55,28.9,21.3,52.3,292.0,72
34.8,-79.3,27.2,20.1,49.2,288.0,72
34.8,-79.05,24.3,17.9,44.0,285.0,72
34.8,-78.8,22.3,16.4,40.4,283.0,72
34.8,-78.55,20.7,15.3,37.5,281.0,72
34.8,-78.3,19.0,14.0,34.3,279.0,72
34.8,-78.05,18.3,13.5,26.7,277.0,72
34.8,-77.8,19.4,14.3,28.4,276.0,72
34.8,-77.55,20.4,15.1,29.9,275.0,72
34.8,-77.3,19.4,14.3,28.4,274.0,72
34.8,-77.05,18.0,13.2,26.3,273.0,72
34.8,-76.8,17.7,13.1,25.9,273.0,72
34.8,-76.55,18.7,13.8,27.4,272.0,72
34.8,-76.3,19.5,14.4,28.5,271.0,72
34.8,-76.05,19.5,14.4,31.0,206.0,72
34.8,-75.8,19.6,14.5,31.2,206.0,72
34.8,-75.55,19.6,14.5,31.1,206.0,72
34.8,-75.3,18.1,13.4,28.8,206.0,72
