# Wind Data Export
# Region: North Carolina
# Date: 2024-01-08 to 2024-01-09
# Resolution: 0.25 degrees
# Bounds: (33.8, -84.3) to (36.6, -75.4)
# Valid Points: 444/444
# Units: mph
# Source: demo_data
#
latitude,longitude,peak_wind_speed,avg_wind_speed,peak_gust,peak_direction,observation_count
33.8,-84.3,14.4,10.6,28.5,93.0,48
33.8,-84.05,17.5,12.9,34.6,94.0,48
33.8,-83.8,21.1,15.5,41.8,96.0,48
33.8,-83.55,22.9,16.8,45.3,99.0,48
33.8,-83.3,23.1,17.0,45.8,102.0,48
33.8,-83.05,23.4,17.2,46.3,107.0,48
33.8,-82.8,23.4,17.2,46.3,113.0,48
33.8,-82.55,22.4,16.4,44.2,121.0,48
33.8,-82.3,21.9,16.1,43.4,134.0,48
33.8,-82.05,24.0,17.6,47.4,152.0,48
33.8,-81.8,26.4,19.4,52.2,174.0,48
33.8,-81.55,25.8,19.0,51.0,195.0,48
33.8,-81.3,22.9,16.9,45.4,210.0,48
33.8,-81.05,21.6,15.9,42.8,220.0,48
33.8,-80.8,22.8,16.8,45.2,227.0,48
33.8,-80.55,24.4,17.9,48.2,232.0,48
33.8,-80.3,25.2,18.6,49.9,236.0,48
33.8,-80.05,26.4,19.4,52.3,239.0,48
33.8,-79.8,27.4,20.2,54.3,241.0,48
33.8,-79.55,26.3,19.3,52.0,243.0,48
33.8,-79.3,23.3,17.1,46.1,244.0,48
33.8,-79.05,21.4,15.7,42.3,245.0,48
33.8,-78.8,21.5,15.8,34.2,246.0,48
33.8,-78.55,21.7,16.0,34.4,247.0,48
33.8,-78.3,20.1,14.8,31.8,248.0,48
33.8,-78.05,17.6,13.0,28.0,249.0,48
33.8,-77.8,16.3,12.0,25.8,249.0,48
33.8,-77.55,15.7,11.5,24.9,250.0,48
33.8,-77.3,14.8,10.9,23.5,250.0,48
33.8,-77.05,14.8,10.9,23.5,251.0,48
33.8,-76.8,16.2,12.2,24.0,210.0,48
33.8,-76.55,18.2,13.8,26.9,210.0,48
33.8,-76.3,18.6,14.0,27.4,210.0,48
33.8,-76.05,17.6,13.3,26.0,210.0,48
33.8,-75.8,17.4,13.1,25.7,210.0,48
33.8,-75.55,18.4,13.9,27.2,210.0,48
33.8,-75.3,19.3,14.6,28.5,210.0,48
34.05,-84.3,17.1,12.5,33.8,87.0,48
34.05,-84.05,20.6,15.1,40.7,88.0,48
34.05,-83.8,22.2,16.3,43.9,90.0,48
34.05,-83.55,22.3,16.4,44.1,91.0,48
34.05,-83.3,22.4,16.5,44.4,93.0,48
34.05,-83.05,22.5,16.6,44.6,96.0,48
34.05,-82.8,21.8,16.0,43.1,101.0,48
34.05,-82.55,21.7,16.0,43.0,108.0,48
34.05,-82.3,24.1,17.8,47.8,120.0,48
34.05,-82.05,27.1,19.9,53.6,143.0,48
34.05,-81.8,26.8,19.7,53.0,178.0,48
34.05,-81.55,24.0,17.7,47.5,207.0,48
34.05,-81.3,22.8,16.8,45.2,224.0,48
34.05,-81.05,24.4,17.9,48.2,233.0,48
34.05,-80.8,26.1,19.2,51.7,238.0,48
34.05,-80.55,27.1,19.9,53.6,242.0,48
34.05,-80.3,28.2,20.7,55.7,244.0,48
34.05,-80.05,29.0,21.3,57.4,246.0,48
34.05,-79.8,27.6,20.3,54.7,248.0,48
34.05,-79.55,24.5,18.0,48.5,249.0,48
34.05,-79.3,22.5,16.6,44.6,250.0,48
34.05,-79.05,22.8,16.8,45.2,250.0,48
34.05,-78.8,23.0,16.9,36.5,251.0,48
34.05,-78.55,21.3,15.6,33.7,252.0,48
34.05,-78.3,18.6,13.7,29.6,252.0,48
34.05,-78.05,16.7,12.3,26.4,252.0,48
34.05,-77.8,15.4,11.4,24.5,253.0,48
34.05,-77.55,14.8,10.9,23.4,253.0,48
34.05,-77.3,14.9,11.0,23.7,253.0,48
34.05,-77.05,16.7,12.3,26.5,254.0,48
34.05,-76.8,18.3,13.8,27.0,210.0,48
