# Wind Data Export
# Region: Outer Banks, NC
# Date: 2024-01-08 to 2024-01-09
# Resolution: 0.025 degrees
# Bounds: (34.5, -76.5) to (36.5, -75.3)
# Valid Points: 3969/3969
# Units: mph
# Source: demo_data
#
latitude,longitude,peak_wind_speed,avg_wind_speed,peak_gust,peak_direction,observation_count
34.5,-76.5,17.2,13.0,25.4,210.0,48
34.5,-76.475,17.3,13.1,25.5,210.0,48
34.5,-76.45,17.4,13.1,25.7,210.0,48
34.5,-76.425,17.5,13.2,25.8,210.0,48
34.5,-76.4,17.6,13.3,26.0,210.0,48
34.5,-76.375,17.7,13.4,26.1,210.0,48
34.5,-76.35,17.8,13.5,26.3,210.0,48
34.5,-76.325,17.9,13.5,26.5,210.0,48
34.5,-76.3,18.1,13.6,26.7,210.0,48
34.5,-76.275,18.2,13.7,26.9,210.0,48
34.5,-76.25,18.3,13.8,27.1,210.0,48
34.5,-76.225,18.4,13.9,27.2,210.0,48
34.5,-76.2,18.6,14.0,27.4,210.0,48
34.5,-76.175,18.7,14.1,27.6,210.0,48
34.5,-76.15,18.8,14.2,27.7,210.0,48
34.5,-76.125,18.9,14.2,27.9,210.0,48
34.5,-76.1,19.0,14.3,28.0,210.0,48
34.5,-76.075,19.0,14.4,28.1,210.0,48
34.5,-76.05,19.1,14.4,28.2,210.0,48
34.5,-76.025,19.1,14.5,28.3,210.0,48
34.5,-76.0,19.2,14.5,28.3,210.0,48
34.5,-75.975,19.2,14.5,28.4,210.0,48
34.5,-75.95,19.2,14.5,28.4,210.0,48
34.5,-75.925,19.3,14.5,28.4,210.0,48
34.5,-75.9,19.3,14.5,28.4,210.0,48
34.5,-75.875,19.3,14.5,28.4,210.0,48
34.5,-75.85,19.3,14.5,28.4,210.0,48
34.5,-75.825,19.2,14.5,28.4,210.0,48
34.5,-75.8,19.2,14.5,28.4,210.0,48
34.5,-75.775,19.2,14.5,28.4,210.0,48
34.5,-75.75,19.2,14.5,28.4,210.0,48
34.5,-75.725,19.2,14.5,28.3,210.0,48
34.5,-75.7,19.2,14.5,28.3,210.0,48
34.5,-75.675,19.2,14.5,28.3,210.0,48
34.5,-75.65,19.2,14.5,28.3,210.0,48
34.5,-75.625,19.1,14.5,28.3,210.0,48
34.5,-75.6,19.1,14.5,28.3,210.0,48
34.5,-75.575,19.1,14.5,28.3,210.0,48
34.5,-75.55,19.1,14.5,28.3,210.0,48
34.5,-75.525,19.1,14.5,28.3,210.0,48
34.5,-75.5,19.1,14.5,28.3,210.0,48
34.5,-75.475,19.1,14.5,28.3,210.0,48
34.5,-75.45,19.1,14.5,28.3,210.0,48
34.5,-75.425,19.1,14.4,28.2,210.0,48
34.5,-75.4,19.1,14.4,28.2,210.0,48
34.5,-75.375,19.1,14.4,28.2,210.0,48
34.5,-75.35,19.1,14.4,28.2,210.0,48
34.5,-75.325,19.1,14.4,28.1,210.0,48
34.5,-75.3,19.0,14.4,28.1,210.0,48
34.525,-76.5,17.3,13.1,25.5,210.0,48
34.525,-76.475,17.4,13.1,25.7,210.0,48
34.525,-76.45,17.5,13.2,25.8,210.0,48
34.525,-76.425,17.6,13.3,26.0,210.0,48
34.525,-76.4,17.7,13.4,26.1,210.0,48
34.525,-76.375,17.8,13.4,26.3,210.0,48
34.525,-76.35,17.9,13.5,26.5,210.0,48
34.525,-76.325,18.1,13.6,26.7,210.0,48
34.525,-76.3,18.2,13.7,26.9,210.0,48
34.525,-76.275,18.3,13.8,27.0,210.0,48
34.525,-76.25,18.4,13.9,27.2,210.0,48
34.525,-76.225,18.6,14.0,27.4,210.0,48
34.525,-76.2,18.7,14.1,27.6,210.0,48
34.525,-76.175,18.8,14.2,27.7,210.0,48
34.525,-76.15,18.9,14.2,27.9,210.0,48
34.525,-76.125,18.9,14.3,28.0,210.0,48
34.525,-76.1,19.0,14.4,28.1,210.0,48
34.525,-76.075,19.1,14.4,28.2,210.0,48
34.525,-76.05,19.1,14.4,28.3,210.0,48
34.525,-76.025,19.2,14.5,28.3,210.0,48
34.525,-76.0,19.2,14.5,28.4,210.0,48
34.525,-75.975,19.2,14.5,28.4,210.0,48
34.525,-75.95,19.2,14.5,28.4,210.0,48
34.525,-75.925,19.3,14.5,28.4,210.0,48
34.525,-75.9,19.3,14.5,28.4,210.0,48
34.525,-75.875,19.2,14.5,28.4,210.0,48
34.525,-75.85,19.2,14.5,28.4,210.0,48
34.525,-75.825,19.2,14.5,28.4,210.0,48
34.525,-75.8,19.2,14.5,28.4,210.0,48
34.525,-75.775,19.2,14.5,28.3,210.0,48
34.525,-75.75,19.2,14.5,28.3,210.0,48
34.525,-75.725,19.2,14.5,28.3,210.0,48
34.525,-75.7,19.1,14.5,28.3,210.0,48
34.525,-75.675,19.1,14.4,28.2,210.0,48
34.525,-75.65,19.1,14.4,28.2,210.0,48
34.525,-75.625,19.1,14.4,28.2,210.0,48
34.525,-75.6,19.1,14.4,28.2,210.0,48
34.525,-75.575,19.1,14.4,28.2,210.0,48
34.525,-75.55,19.1,14.4,28.2,210.0,48
34.525,-75.525,19.1,14.4,28.2,210.0,48
34.525,-75.5,19.1,14.4,28.2,210.0,48
34.525,-75.475,19.1,14.4,28.2,210.0,48
34.525,-75.45,19.1,14.4,28.2,210.0,48
34.525,-75.425,19.1,14.4,28.2,210.0,48
34.525,-75.4,19.1,14.4,28.2,210.0,48
34.525,-75.375,19.0,14.4,28.1,210.0,48
34.525,-75.35,19.0,14.4,28.1,210.0,48
34.525,-75.325,19.0,14.3,28.0,210.0,48
34.525,-75.3,18.9,14.3,27.9,210.0,48
34.55,-76.5,17.4,13.1,25.6,210.0,48
34.55,-76.475,17.5,13.2,25.8,210.0,48
34.55,-76.45,17.6,13.3,25.9,210.0,48
34.55,-76.425,17.7,13.4,26.1,210.0,48
34.55,-76.4,17.8,13.4,26.3,210.0,48
34.55,-76.375,17.9,13.5,26.5,210.0,48
34.55,-76.35,18.1,13.6,26.7,210.0,48
34.55,-76.325,18.2,13.7,26.9,210.0,48
34.55,-76.3,18.3,13.8,27.0,210.0,48
34.55,-76.275,18.4,13.9,27.2,210.0,48
34.55,-76.25,18.6,14.0,27.4,210.0,48
34.55,-76.225,18.7,14.1,27.6,210.0,48
34.55,-76.2,18.8,14.2,27.7,210.0,48
34.55,-76.175,18.9,14.2,27.8,210.0,48
34.55,-76.15,18.9,14.3,28.0,210.0,48
34.55,-76.125,19.0,14.4,28.1,210.0,48
34.55,-76.1,19.1,14.4,28.2,210.0,48
34.55,-76.075,19.1,14.4,28.2,210.0,48
34.55,-76.05,19.2,14.5,28.3,210.0,48
34.55,-76.025,19.2,14.5,28.3,210.0,48
34.55,-76.0,19.2,14.5,28.4,210.0,48
34.55,-75.975,19.2,14.5,28.4,210.0,48
34.55,-75.95,19.2,14.5,28.4,210.0,48
34.55,-75.925,19.2,14.5,28.4,210.0,48
34.55,-75.9,19.2,14.5,28.4,210.0,48
34.55,-75.875,19.2,14.5,28.4,210.0,48
34.55,-75.85,19.2,14.5,28.4,210.0,48
34.55,-75.825,19.2,14.5,28.3,210.0,48
